,trialNum,numStrokes,repetition,gameID,target,condition,generalization,outcome,bis
0,1,0.4576214157311075,0,0055-b8f4d6a3-ff78-4051-bd88-0fb01a2f5764,dining_04,control,between,-2.6457433110887805,-3.103364726819888
1,2,-0.10560494209179402,0,0055-b8f4d6a3-ff78-4051-bd88-0fb01a2f5764,dining_05,control,between,0.37796333015554007,0.4835682722473341
2,3,0.4576214157311075,0,0055-b8f4d6a3-ff78-4051-bd88-0fb01a2f5764,waiting_06,repeated,between,0.37796333015554007,-0.07965808557556742
3,4,-1.232057657737597,0,0055-b8f4d6a3-ff78-4051-bd88-0fb01a2f5764,waiting_01,repeated,between,0.37796333015554007,1.610020987893137
4,5,-0.10560494209179402,0,0055-b8f4d6a3-ff78-4051-bd88-0fb01a2f5764,dining_02,control,between,0.37796333015554007,0.4835682722473341
5,6,-0.10560494209179402,0,0055-b8f4d6a3-ff78-4051-bd88-0fb01a2f5764,waiting_07,repeated,between,0.37796333015554007,0.4835682722473341
6,7,-1.7952840155604985,0,0055-b8f4d6a3-ff78-4051-bd88-0fb01a2f5764,waiting_00,repeated,between,-2.6457433110887805,-0.8504592955282819
7,8,1.020847773554009,0,0055-b8f4d6a3-ff78-4051-bd88-0fb01a2f5764,dining_03,control,between,0.37796333015554007,-0.6428844433984688
8,33,0.4576214157311075,7,0055-b8f4d6a3-ff78-4051-bd88-0fb01a2f5764,dining_02,control,between,0.37796333015554007,-0.07965808557556742
9,34,0.4576214157311075,7,0055-b8f4d6a3-ff78-4051-bd88-0fb01a2f5764,dining_04,control,between,0.37796333015554007,-0.07965808557556742
10,35,-0.10560494209179402,7,0055-b8f4d6a3-ff78-4051-bd88-0fb01a2f5764,dining_05,control,between,0.37796333015554007,0.4835682722473341
11,36,2.7105268470227135,7,0055-b8f4d6a3-ff78-4051-bd88-0fb01a2f5764,dining_03,control,between,0.37796333015554007,-2.3325635168671734
12,37,-0.6688312999146955,7,0055-b8f4d6a3-ff78-4051-bd88-0fb01a2f5764,waiting_01,repeated,between,0.37796333015554007,1.0467946300702355
13,38,-0.10560494209179402,7,0055-b8f4d6a3-ff78-4051-bd88-0fb01a2f5764,waiting_06,repeated,between,0.37796333015554007,0.4835682722473341
14,39,-1.232057657737597,7,0055-b8f4d6a3-ff78-4051-bd88-0fb01a2f5764,waiting_00,repeated,between,0.37796333015554007,1.610020987893137
15,40,-0.10560494209179402,7,0055-b8f4d6a3-ff78-4051-bd88-0fb01a2f5764,waiting_07,repeated,between,0.37796333015554007,0.4835682722473341
16,1,0.9655617861297525,0,0130-40464c88-2dc5-4cda-b0d7-0612c6ad5469,dining_00,repeated,between,0.37796333015554007,-0.5875984559742125
17,2,-0.557577932835491,0,0130-40464c88-2dc5-4cda-b0d7-0612c6ad5469,waiting_03,control,between,0.37796333015554007,0.935541262991031
18,3,-0.9927607096827034,0,0130-40464c88-2dc5-4cda-b0d7-0612c6ad5469,waiting_05,control,between,-2.6457433110887805,-1.6529826014060771
19,4,0.09519623243532772,0,0130-40464c88-2dc5-4cda-b0d7-0612c6ad5469,waiting_04,control,between,0.37796333015554007,0.28276709772021236
20,5,0.5303790092825401,0,0130-40464c88-2dc5-4cda-b0d7-0612c6ad5469,dining_01,repeated,between,0.37796333015554007,-0.15241567912700005
21,6,0.9655617861297525,0,0130-40464c88-2dc5-4cda-b0d7-0612c6ad5469,dining_07,repeated,between,0.37796333015554007,-0.5875984559742125
22,7,0.3127876208589339,0,0130-40464c88-2dc5-4cda-b0d7-0612c6ad5469,dining_06,repeated,between,0.37796333015554007,0.06517570929660615
23,8,-0.12239515598827849,0,0130-40464c88-2dc5-4cda-b0d7-0612c6ad5469,waiting_02,control,between,0.37796333015554007,0.5003584861438186
24,33,-1.4279434865299159,7,0130-40464c88-2dc5-4cda-b0d7-0612c6ad5469,waiting_03,control,between,0.37796333015554007,1.805906816685456
25,34,-1.4279434865299159,7,0130-40464c88-2dc5-4cda-b0d7-0612c6ad5469,waiting_02,control,between,0.37796333015554007,1.805906816685456
26,35,0.5303790092825401,7,0130-40464c88-2dc5-4cda-b0d7-0612c6ad5469,dining_01,repeated,between,0.37796333015554007,-0.15241567912700005
27,36,1.8359273398241773,7,0130-40464c88-2dc5-4cda-b0d7-0612c6ad5469,dining_07,repeated,between,0.37796333015554007,-1.4579640096686373
