,trialNum,drawDuration,repetition,gameID,target,condition,generalization,outcome,bis
0,1,0.9978023456021758,0,0055-b8f4d6a3-ff78-4051-bd88-0fb01a2f5764,dining_04,control,between,-2.6457433110887805,-3.6435456566909563
1,2,2.123491190034083,0,0055-b8f4d6a3-ff78-4051-bd88-0fb01a2f5764,dining_05,control,between,0.37796333015554007,-1.745527859878543
2,3,1.2475825363811464,0,0055-b8f4d6a3-ff78-4051-bd88-0fb01a2f5764,waiting_06,repeated,between,0.37796333015554007,-0.8696192062256063
3,4,-0.1902116903868647,0,0055-b8f4d6a3-ff78-4051-bd88-0fb01a2f5764,waiting_01,repeated,between,0.37796333015554007,0.5681750205424048
4,5,-0.39828194527760113,0,0055-b8f4d6a3-ff78-4051-bd88-0fb01a2f5764,dining_02,control,between,0.37796333015554007,0.7762452754331413
5,6,-0.36711934949903496,0,0055-b8f4d6a3-ff78-4051-bd88-0fb01a2f5764,waiting_07,repeated,between,0.37796333015554007,0.7450826796545751
6,7,-0.09624447850072602,0,0055-b8f4d6a3-ff78-4051-bd88-0fb01a2f5764,waiting_00,repeated,between,-2.6457433110887805,-2.5494988325880543
7,8,-0.08521771384061805,0,0055-b8f4d6a3-ff78-4051-bd88-0fb01a2f5764,dining_03,control,between,0.37796333015554007,0.4631810439961581
8,33,-1.4237710586676569,7,0055-b8f4d6a3-ff78-4051-bd88-0fb01a2f5764,dining_02,control,between,0.37796333015554007,1.801734388823197
9,34,-0.23719529632993447,7,0055-b8f4d6a3-ff78-4051-bd88-0fb01a2f5764,dining_04,control,between,0.37796333015554007,0.6151586264854745
10,35,0.5610465801518055,7,0055-b8f4d6a3-ff78-4051-bd88-0fb01a2f5764,dining_05,control,between,0.37796333015554007,-0.18308324999626546
11,36,1.5803031743861484,7,0055-b8f4d6a3-ff78-4051-bd88-0fb01a2f5764,dining_03,control,between,0.37796333015554007,-1.2023398442306084
12,37,-0.741070498841832,7,0055-b8f4d6a3-ff78-4051-bd88-0fb01a2f5764,waiting_01,repeated,between,0.37796333015554007,1.119033828997372
13,38,-1.037354871013433,7,0055-b8f4d6a3-ff78-4051-bd88-0fb01a2f5764,waiting_06,repeated,between,0.37796333015554007,1.4153182011689731
14,39,-0.649020985157451,7,0055-b8f4d6a3-ff78-4051-bd88-0fb01a2f5764,waiting_00,repeated,between,0.37796333015554007,1.026984315312991
15,40,-1.2847379390402067,7,0055-b8f4d6a3-ff78-4051-bd88-0fb01a2f5764,waiting_07,repeated,between,0.37796333015554007,1.6627012691957468
16,1,2.5172656215198357,0,0130-40464c88-2dc5-4cda-b0d7-0612c6ad5469,dining_00,repeated,between,0.37796333015554007,-2.1393022913642956
17,2,0.13904152970915803,0,0130-40464c88-2dc5-4cda-b0d7-0612c6ad5469,waiting_03,control,between,0.37796333015554007,0.23892180044638203
18,3,0.5636460565036849,0,0130-40464c88-2dc5-4cda-b0d7-0612c6ad5469,waiting_05,control,between,-2.6457433110887805,-3.2093893675924656
19,4,0.6321385203551558,0,0130-40464c88-2dc5-4cda-b0d7-0612c6ad5469,waiting_04,control,between,0.37796333015554007,-0.25417519019961576
20,5,0.23385849924019753,0,0130-40464c88-2dc5-4cda-b0d7-0612c6ad5469,dining_01,repeated,between,0.37796333015554007,0.14410483091534254
21,6,0.20631526644583392,0,0130-40464c88-2dc5-4cda-b0d7-0612c6ad5469,dining_07,repeated,between,0.37796333015554007,0.17164806370970614
22,7,0.31307576170186285,0,0130-40464c88-2dc5-4cda-b0d7-0612c6ad5469,dining_06,repeated,between,0.37796333015554007,0.06488756845367721
23,8,1.1900717935082399,0,0130-40464c88-2dc5-4cda-b0d7-0612c6ad5469,waiting_02,control,between,0.37796333015554007,-0.8121084633526998
24,33,-1.8372463596421773,7,0130-40464c88-2dc5-4cda-b0d7-0612c6ad5469,waiting_03,control,between,0.37796333015554007,2.2152096897977174
25,34,-1.187908552879479,7,0130-40464c88-2dc5-4cda-b0d7-0612c6ad5469,waiting_02,control,between,0.37796333015554007,1.5658718830350191
26,35,-0.6280253163427233,7,0130-40464c88-2dc5-4cda-b0d7-0612c6ad5469,dining_01,repeated,between,0.37796333015554007,1.0059886464982633
27,36,-0.04937368223812673,7,0130-40464c88-2dc5-4cda-b0d7-0612c6ad5469,dining_07,repeated,between,0.37796333015554007,0.4273370123936668
28,37,-0.4827530442591767,7,0130-40464c88-2dc5-4cda-b0d7-0612c6ad5469,dining_06,repeated,between,-2.6457433110887805,-2.162990266829604
29,38,-1.3670614387543227,7,0130-40464c88-2dc5-4cda-b0d7-0612c6ad5469,waiting_04,control,between,0.37796333015554007,1.7450247689098628
30,39,-0.10933505628603322,7,0130-40464c88-2dc5-4cda-b0d7-0612c6ad5469,waiting_05,control,between,0.37796333015554007,0.4872983864415733
31,40,-0.13370959858193066,7,0130-40464c88-2dc5-4cda-b0d7-0612c6ad5469,dining_00,repeated,between,0.37796333015554007,0.5116729287374707
32,1,-1.8050617730842449,0,0794-79a983ad-75ff-4c79-bb76-efd8ba1ee928,waiting_01,repeated,between,0.4803832306491839,2.285445003733429
33,2,-0.4913670036221808,0,0794-79a983ad-75ff-4c79-bb76-efd8ba1ee928,dining_07,control,between,-2.0816606661464636,-1.590293662524283
34,3,-1.6277205904164227,0,0794-79a983ad-75ff-4c79-bb76-efd8ba1ee928,waiting_00,repeated,between,0.4803832306491839,2.1081038210656065
35,4,-0.20670776620687845,0,0794-79a983ad-75ff-4c79-bb76-efd8ba1ee928,waiting_06,repeated,between,0.4803832306491839,0.6870909968560623
36,5,0.20404384286208274,0,0794-79a983ad-75ff-4c79-bb76-efd8ba1ee928,dining_01,control,between,0.4803832306491839,0.2763393877871012
37,6,0.25326299799449664,0,0794-79a983ad-75ff-4c79-bb76-efd8ba1ee928,waiting_07,repeated,between,0.4803832306491839,0.22712023265468728
38,7,1.2254681653522852,0,0794-79a983ad-75ff-4c79-bb76-efd8ba1ee928,dining_00,control,between,-2.0816606661464636,-3.3071288314987486
39,8,0.5724263853995324,0,0794-79a983ad-75ff-4c79-bb76-efd8ba1ee928,dining_06,control,between,0.4803832306491839,-0.09204315475034847
40,33,-0.6567839579847276,7,0794-79a983ad-75ff-4c79-bb76-efd8ba1ee928,dining_01,control,between,0.4803832306491839,1.1371671886339114
41,34,-1.2989163375730786,7,0794-79a983ad-75ff-4c79-bb76-efd8ba1ee928,waiting_06,repeated,between,0.4803832306491839,1.7792995682222625
42,35,-0.4789353613464681,7,0794-79a983ad-75ff-4c79-bb76-efd8ba1ee928,waiting_00,repeated,between,-2.0816606661464636,-1.6027253047999954
43,36,1.0397546521722487,7,0794-79a983ad-75ff-4c79-bb76-efd8ba1ee928,waiting_07,repeated,between,0.4803832306491839,-0.5593714215230647
44,37,-0.2881477084620589,7,0794-79a983ad-75ff-4c79-bb76-efd8ba1ee928,waiting_01,repeated,between,0.4803832306491839,0.7685309391112428
45,38,1.228766356160127,7,0794-79a983ad-75ff-4c79-bb76-efd8ba1ee928,dining_06,control,between,0.4803832306491839,-0.748383125510943
46,39,1.4264040976454393,7,0794-79a983ad-75ff-4c79-bb76-efd8ba1ee928,dining_07,control,between,0.4803832306491839,-0.9460208669962553
47,40,0.9035140011098439,7,0794-79a983ad-75ff-4c79-bb76-efd8ba1ee928,dining_00,control,between,0.4803832306491839,-0.42313077046066
48,1,0.814695543953875,0,1042-2da3c5b1-5245-41b5-99e2-67f6bb139727,waiting_02,repeated,between,0.6741984079209257,-0.14049713603294933
49,2,0.4083545934694577,0,1042-2da3c5b1-5245-41b5-99e2-67f6bb139727,waiting_05,repeated,between,0.6741984079209257,0.265843814451468
50,3,0.23925739831352075,0,1042-2da3c5b1-5245-41b5-99e2-67f6bb139727,dining_05,control,between,-1.4832364974260364,-1.722493895739557
51,4,1.8816090247068076,0,1042-2da3c5b1-5245-41b5-99e2-67f6bb139727,waiting_04,repeated,between,-1.4832364974260364,-3.364845522132844
52,5,1.481711731774522,0,1042-2da3c5b1-5245-41b5-99e2-67f6bb139727,dining_04,control,between,-1.4832364974260364,-2.9649482292005587
53,6,0.3007650385838676,0,1042-2da3c5b1-5245-41b5-99e2-67f6bb139727,dining_02,control,between,0.6741984079209257,0.37343336933705806
54,7,1.4053641528992666,0,1042-2da3c5b1-5245-41b5-99e2-67f6bb139727,dining_03,control,between,0.6741984079209257,-0.731165744978341
55,8,-0.31040611711830673,0,1042-2da3c5b1-5245-41b5-99e2-67f6bb139727,waiting_03,repeated,between,0.6741984079209257,0.9846045250392323
56,33,-1.3163977446510866,7,1042-2da3c5b1-5245-41b5-99e2-67f6bb139727,dining_03,control,between,-1.4832364974260364,-0.16683875277494975
57,34,-0.20262129988265146,7,1042-2da3c5b1-5245-41b5-99e2-67f6bb139727,dining_05,control,between,0.6741984079209257,0.8768197078035771
58,35,-1.0568940814152432,7,1042-2da3c5b1-5245-41b5-99e2-67f6bb139727,waiting_02,repeated,between,0.6741984079209257,1.7310924893361688
