,trialNum,numStrokes,repetition,gameID,target,condition,generalization,outcome,bis
0,1,1.8712572634157048,0,0286-a442ec93-ad78-42fa-b3e9-083da9a64c4d,waiting_02,control,within,-1.9999950000124997,-3.8712522634282047
1,2,1.3042096078351881,0,0286-a442ec93-ad78-42fa-b3e9-083da9a64c4d,waiting_01,control,within,-1.9999950000124997,-3.304204607847688
2,3,-0.3969333589063618,0,0286-a442ec93-ad78-42fa-b3e9-083da9a64c4d,waiting_00,repeated,within,0.4999987500031248,0.8969321089094866
3,4,-0.3969333589063618,0,0286-a442ec93-ad78-42fa-b3e9-083da9a64c4d,waiting_06,repeated,within,-1.9999950000124997,-1.603061641106138
4,5,-0.3969333589063618,0,0286-a442ec93-ad78-42fa-b3e9-083da9a64c4d,waiting_04,control,within,-1.9999950000124997,-1.603061641106138
5,6,-0.3969333589063618,0,0286-a442ec93-ad78-42fa-b3e9-083da9a64c4d,waiting_03,repeated,within,-1.9999950000124997,-1.603061641106138
6,7,0.1701142966741549,0,0286-a442ec93-ad78-42fa-b3e9-083da9a64c4d,waiting_05,control,within,-1.9999950000124997,-2.170109296686655
7,8,2.4383049189962214,0,0286-a442ec93-ad78-42fa-b3e9-083da9a64c4d,waiting_07,repeated,within,0.4999987500031248,-1.9383061689930965
8,9,1.3042096078351881,1,0286-a442ec93-ad78-42fa-b3e9-083da9a64c4d,waiting_06,repeated,within,0.4999987500031248,-0.8042108578320633
9,10,-1.531028670067395,1,0286-a442ec93-ad78-42fa-b3e9-083da9a64c4d,waiting_03,repeated,within,0.4999987500031248,2.0310274200705196
10,11,-0.9639810144868783,1,0286-a442ec93-ad78-42fa-b3e9-083da9a64c4d,waiting_00,repeated,within,0.4999987500031248,1.4639797644900032
11,12,2.4383049189962214,1,0286-a442ec93-ad78-42fa-b3e9-083da9a64c4d,waiting_07,repeated,within,0.4999987500031248,-1.9383061689930965
12,13,0.7371619522546715,2,0286-a442ec93-ad78-42fa-b3e9-083da9a64c4d,waiting_07,repeated,within,0.4999987500031248,-0.2371632022515467
13,14,-0.3969333589063618,2,0286-a442ec93-ad78-42fa-b3e9-083da9a64c4d,waiting_00,repeated,within,0.4999987500031248,0.8969321089094866
14,15,-0.9639810144868783,2,0286-a442ec93-ad78-42fa-b3e9-083da9a64c4d,waiting_03,repeated,within,-1.9999950000124997,-1.0360139855256214
