,trialNum,drawDuration,repetition,gameID,target,condition,generalization,outcome,bis
0,1,2.493160519229372,0,0286-a442ec93-ad78-42fa-b3e9-083da9a64c4d,waiting_02,control,within,-1.9999950000124997,-4.4931555192418715
1,2,1.57544326412432,0,0286-a442ec93-ad78-42fa-b3e9-083da9a64c4d,waiting_01,control,within,-1.9999950000124997,-3.5754382641368196
2,3,-0.3628191158057332,0,0286-a442ec93-ad78-42fa-b3e9-083da9a64c4d,waiting_00,repeated,within,0.4999987500031248,0.8628178658088581
3,4,-0.08154622425980261,0,0286-a442ec93-ad78-42fa-b3e9-083da9a64c4d,waiting_06,repeated,within,-1.9999950000124997,-1.9184487757526971
4,5,0.7849003102885069,0,0286-a442ec93-ad78-42fa-b3e9-083da9a64c4d,waiting_04,control,within,-1.9999950000124997,-2.784895310301007
5,6,-0.22848409937493738,0,0286-a442ec93-ad78-42fa-b3e9-083da9a64c4d,waiting_03,repeated,within,-1.9999950000124997,-1.7715109006375624
6,7,3.0410984433916584,0,0286-a442ec93-ad78-42fa-b3e9-083da9a64c4d,waiting_05,control,within,-1.9999950000124997,-5.041093443404158
7,8,1.5697146919950749,0,0286-a442ec93-ad78-42fa-b3e9-083da9a64c4d,waiting_07,repeated,within,0.4999987500031248,-1.06971594199195
8,9,0.5995810019074305,1,0286-a442ec93-ad78-42fa-b3e9-083da9a64c4d,waiting_06,repeated,within,0.4999987500031248,-0.09958225190430564
9,10,-1.0259013397658445,1,0286-a442ec93-ad78-42fa-b3e9-083da9a64c4d,waiting_03,repeated,within,0.4999987500031248,1.5259000897689694
10,11,-1.1845827877459314,1,0286-a442ec93-ad78-42fa-b3e9-083da9a64c4d,waiting_00,repeated,within,0.4999987500031248,1.6845815377490563
11,12,1.2400353659570236,1,0286-a442ec93-ad78-42fa-b3e9-083da9a64c4d,waiting_07,repeated,within,0.4999987500031248,-0.7400366159538987
12,13,0.22808309932589066,2,0286-a442ec93-ad78-42fa-b3e9-083da9a64c4d,waiting_07,repeated,within,0.4999987500031248,0.27191565067723417
13,14,-0.7099705868379814,2,0286-a442ec93-ad78-42fa-b3e9-083da9a64c4d,waiting_00,repeated,within,0.4999987500031248,1.2099693368411062
14,15,-1.1241463517823966,2,0286-a442ec93-ad78-42fa-b3e9-083da9a64c4d,waiting_03,repeated,within,-1.9999950000124997,-0.8758486482301031
15,16,-0.5512891388578945,2,0286-a442ec93-ad78-42fa-b3e9-083da9a64c4d,waiting_06,repeated,within,0.4999987500031248,1.0512878888610193
16,17,-0.009079786824853059,3,0286-a442ec93-ad78-42fa-b3e9-083da9a64c4d,waiting_03,repeated,within,0.4999987500031248,0.5090785368279779
17,18,-0.47968198724233174,3,0286-a442ec93-ad78-42fa-b3e9-083da9a64c4d,waiting_06,repeated,within,0.4999987500031248,0.9796807372454566
18,19,0.03789450463495603,3,0286-a442ec93-ad78-42fa-b3e9-083da9a64c4d,waiting_07,repeated,within,0.4999987500031248,0.4621042453681688
19,20,-1.215803505850317,3,0286-a442ec93-ad78-42fa-b3e9-083da9a64c4d,waiting_00,repeated,within,0.4999987500031248,1.7158022558534418
20,21,-0.32214625368809346,4,0286-a442ec93-ad78-42fa-b3e9-083da9a64c4d,waiting_03,repeated,within,0.4999987500031248,0.8221450036912183
21,22,-0.8594863194112765,4,0286-a442ec93-ad78-42fa-b3e9-083da9a64c4d,waiting_00,repeated,within,0.4999987500031248,1.3594850694144014
22,23,0.204309524989524,4,0286-a442ec93-ad78-42fa-b3e9-083da9a64c4d,waiting_07,repeated,within,0.4999987500031248,0.29568922501360084
23,24,-0.9385406147948578,4,0286-a442ec93-ad78-42fa-b3e9-083da9a64c4d,waiting_06,repeated,within,0.4999987500031248,1.4385393647979827
24,25,-0.3038148228745094,5,0286-a442ec93-ad78-42fa-b3e9-083da9a64c4d,waiting_00,repeated,within,0.4999987500031248,0.8038135728776342
25,26,0.08544165330768981,5,0286-a442ec93-ad78-42fa-b3e9-083da9a64c4d,waiting_06,repeated,within,0.4999987500031248,0.414557096695435
26,27,0.9587624744110932,5,0286-a442ec93-ad78-42fa-b3e9-083da9a64c4d,waiting_03,repeated,within,0.4999987500031248,-0.45876372440796837
27,28,0.32145882503258466,5,0286-a442ec93-ad78-42fa-b3e9-083da9a64c4d,waiting_07,repeated,within,0.4999987500031248,0.17853992497054016
28,29,-0.8205320289324104,6,0286-a442ec93-ad78-42fa-b3e9-083da9a64c4d,waiting_00,repeated,within,0.4999987500031248,1.3205307789355352
29,30,-0.6269062909639286,6,0286-a442ec93-ad78-42fa-b3e9-083da9a64c4d,waiting_07,repeated,within,0.4999987500031248,1.1269050409670534
30,31,0.2939616788122085,6,0286-a442ec93-ad78-42fa-b3e9-083da9a64c4d,waiting_03,repeated,within,0.4999987500031248,0.2060370711909163
31,32,-1.0556899148379186,6,0286-a442ec93-ad78-42fa-b3e9-083da9a64c4d,waiting_06,repeated,within,0.4999987500031248,1.5556886648410435
32,33,0.5889831434683269,7,0286-a442ec93-ad78-42fa-b3e9-083da9a64c4d,waiting_01,control,within,0.4999987500031248,-0.0889843934652021
33,34,0.6078874314948357,7,0286-a442ec93-ad78-42fa-b3e9-083da9a64c4d,waiting_04,control,within,0.4999987500031248,-0.10788868149171088
34,35,0.6860824410590302,7,0286-a442ec93-ad78-42fa-b3e9-083da9a64c4d,waiting_02,control,within,-1.9999950000124997,-2.68607744107153
35,36,-1.3154806608991803,7,0286-a442ec93-ad78-42fa-b3e9-083da9a64c4d,waiting_06,repeated,within,0.4999987500031248,1.8154794109023051
36,37,-0.39289411948426944,7,0286-a442ec93-ad78-42fa-b3e9-083da9a64c4d,waiting_07,repeated,within,0.4999987500031248,0.8928928694873943
37,38,-1.355294237197433,7,0286-a442ec93-ad78-42fa-b3e9-083da9a64c4d,waiting_00,repeated,within,0.4999987500031248,1.855292987200558
38,39,0.3091423949547076,7,0286-a442ec93-ad78-42fa-b3e9-083da9a64c4d,waiting_05,control,within,0.4999987500031248,0.19085635504841725
39,40,-0.6618505809523232,7,0286-a442ec93-ad78-42fa-b3e9-083da9a64c4d,waiting_03,repeated,within,0.4999987500031248,1.161849330955448
40,1,3.055944780063637,0,0724-1a59371c-6fe6-4d6d-a987-db533e75a5e5,dining_04,repeated,within,0.42008284874110957,-2.6358619313225273
41,2,-0.8807290022449455,0,0724-1a59371c-6fe6-4d6d-a987-db533e75a5e5,dining_03,control,within,0.42008284874110957,1.3008118509860551
42,3,-0.47396373006711695,0,0724-1a59371c-6fe6-4d6d-a987-db533e75a5e5,dining_06,control,within,0.42008284874110957,0.8940465788082266
43,4,2.204842587732606,0,0724-1a59371c-6fe6-4d6d-a987-db533e75a5e5,dining_02,control,within,0.42008284874110957,-1.7847597389914962
44,5,0.8133870415335294,0,0724-1a59371c-6fe6-4d6d-a987-db533e75a5e5,dining_05,repeated,within,0.42008284874110957,-0.3933041927924198
45,6,-1.373335053477621,0,0724-1a59371c-6fe6-4d6d-a987-db533e75a5e5,dining_01,repeated,within,-2.3804694761996203,-1.0071344227219994
46,7,1.058385496039611,0,0724-1a59371c-6fe6-4d6d-a987-db533e75a5e5,dining_00,control,within,0.42008284874110957,-0.6383026472985015
47,8,-0.9404783590946718,0,0724-1a59371c-6fe6-4d6d-a987-db533e75a5e5,dining_07,repeated,within,0.42008284874110957,1.3605612078357814
48,9,-0.2255733906743697,1,0724-1a59371c-6fe6-4d6d-a987-db533e75a5e5,dining_05,repeated,within,0.42008284874110957,0.6456562394154792
49,10,-1.0873730661095,1,0724-1a59371c-6fe6-4d6d-a987-db533e75a5e5,dining_07,repeated,within,0.42008284874110957,1.5074559148506097
50,11,0.02751340471529942,1,0724-1a59371c-6fe6-4d6d-a987-db533e75a5e5,dining_01,repeated,within,-2.3804694761996203,-2.4079828809149197
51,12,0.8034723010955835,1,0724-1a59371c-6fe6-4d6d-a987-db533e75a5e5,dining_04,repeated,within,0.42008284874110957,-0.38338945235447397
52,13,-0.6375569472932223,2,0724-1a59371c-6fe6-4d6d-a987-db533e75a5e5,dining_07,repeated,within,0.42008284874110957,1.0576397960343318
53,14,0.15144766018962175,2,0724-1a59371c-6fe6-4d6d-a987-db533e75a5e5,dining_04,repeated,within,0.42008284874110957,0.2686351885514878
54,15,1.3780054180523367,2,0724-1a59371c-6fe6-4d6d-a987-db533e75a5e5,dining_05,repeated,within,0.42008284874110957,-0.9579225693112271
55,16,0.4014034849146763,2,0724-1a59371c-6fe6-4d6d-a987-db533e75a5e5,dining_01,repeated,within,0.42008284874110957,0.01867936382643326
56,17,-1.2034798949222862,3,0724-1a59371c-6fe6-4d6d-a987-db533e75a5e5,dining_07,repeated,within,0.42008284874110957,1.623562743663396
57,18,-0.3132405692835747,3,0724-1a59371c-6fe6-4d6d-a987-db533e75a5e5,dining_04,repeated,within,0.42008284874110957,0.7333234180246843
58,19,0.14101109130757378,3,0724-1a59371c-6fe6-4d6d-a987-db533e75a5e5,dining_01,repeated,within,-2.3804694761996203,-2.521480567507194
59,20,1.2538102483559632,3,0724-1a59371c-6fe6-4d6d-a987-db533e75a5e5,dining_05,repeated,within,0.42008284874110957,-0.8337273996148536
60,21,0.5284687110536133,4,0724-1a59371c-6fe6-4d6d-a987-db533e75a5e5,dining_01,repeated,within,0.42008284874110957,-0.10838586231250369
61,22,0.9315811841227251,4,0724-1a59371c-6fe6-4d6d-a987-db533e75a5e5,dining_05,repeated,within,-2.3804694761996203,-3.3120506603223454
62,23,-0.5738938771127283,4,0724-1a59371c-6fe6-4d6d-a987-db533e75a5e5,dining_04,repeated,within,0.42008284874110957,0.9939767258538379
63,24,-1.1257274567510271,4,0724-1a59371c-6fe6-4d6d-a987-db533e75a5e5,dining_07,repeated,within,0.42008284874110957,1.5458103054921368
64,25,-0.37559906835381246,5,0724-1a59371c-6fe6-4d6d-a987-db533e75a5e5,dining_04,repeated,within,0.42008284874110957,0.7956819170949221
65,26,-1.406471159678124,5,0724-1a59371c-6fe6-4d6d-a987-db533e75a5e5,dining_07,repeated,within,0.42008284874110957,1.8265540084192335
66,27,0.32547744629777553,5,0724-1a59371c-6fe6-4d6d-a987-db533e75a5e5,dining_01,repeated,within,0.42008284874110957,0.09460540244333404
67,28,0.7181533504848394,5,0724-1a59371c-6fe6-4d6d-a987-db533e75a5e5,dining_05,repeated,within,-2.3804694761996203,-3.0986228266844598
68,29,0.2779910578844561,6,0724-1a59371c-6fe6-4d6d-a987-db533e75a5e5,dining_04,repeated,within,0.42008284874110957,0.14209179085665347
69,30,0.875223712159665,6,0724-1a59371c-6fe6-4d6d-a987-db533e75a5e5,dining_01,repeated,within,-2.3804694761996203,-3.2556931883592855
70,31,-1.3399380330550668,6,0724-1a59371c-6fe6-4d6d-a987-db533e75a5e5,dining_07,repeated,within,0.42008284874110957,1.7600208817961764
71,32,0.328347502740339,6,0724-1a59371c-6fe6-4d6d-a987-db533e75a5e5,dining_05,repeated,within,0.42008284874110957,0.09173534600077055
72,33,-1.0344074790331055,7,0724-1a59371c-6fe6-4d6d-a987-db533e75a5e5,dining_02,control,within,0.42008284874110957,1.4544903277742152
73,34,-0.3724680976891979,7,0724-1a59371c-6fe6-4d6d-a987-db533e75a5e5,dining_04,repeated,within,0.42008284874110957,0.7925509464303075
74,35,0.7045858109381764,7,0724-1a59371c-6fe6-4d6d-a987-db533e75a5e5,dining_00,control,within,0.42008284874110957,-0.28450296219706683
75,36,-0.8535939231516204,7,0724-1a59371c-6fe6-4d6d-a987-db533e75a5e5,dining_03,control,within,0.42008284874110957,1.27367677189273
76,37,-0.6425143175121952,7,0724-1a59371c-6fe6-4d6d-a987-db533e75a5e5,dining_05,repeated,within,0.42008284874110957,1.0625971662533047
77,38,0.06273682469221205,7,0724-1a59371c-6fe6-4d6d-a987-db533e75a5e5,dining_06,control,within,0.42008284874110957,0.35734602404889754
78,39,0.10213487222194398,7,0724-1a59371c-6fe6-4d6d-a987-db533e75a5e5,dining_01,repeated,within,0.42008284874110957,0.3179479765191656
79,40,-1.2835805610920064,7,0724-1a59371c-6fe6-4d6d-a987-db533e75a5e5,dining_07,repeated,within,0.42008284874110957,1.703663409833116
80,1,3.357650737775156,0,1781-59e66c90-3a35-4e43-aea6-6f8860c3a543,dining_03,control,within,0.538814615760834,-2.8188361220143223
81,2,0.7444709226946431,0,1781-59e66c90-3a35-4e43-aea6-6f8860c3a543,dining_05,control,within,0.538814615760834,-0.2056563069338091
82,3,0.6108602981133427,0,1781-59e66c90-3a35-4e43-aea6-6f8860c3a543,dining_00,control,within,0.538814615760834,-0.07204568235250874
83,4,-0.15026767814655362,0,1781-59e66c90-3a35-4e43-aea6-6f8860c3a543,dining_01,repeated,within,0.538814615760834,0.6890822939073876
84,5,-0.3401561210345577,0,1781-59e66c90-3a35-4e43-aea6-6f8860c3a543,dining_02,control,within,0.538814615760834,0.8789707367953917
85,6,0.191137967874884,0,1781-59e66c90-3a35-4e43-aea6-6f8860c3a543,dining_04,repeated,within,-1.855917009842873,-2.047054977717757
