,trialNum,drawDuration,repetition,gameID,target,condition,generalization,outcome,bis
0,1,1.9779253275687514,0,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,dining_07,repeated,between,-1.2909917820746473,-3.2689171096433984
1,2,-0.5693626932448341,0,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,waiting_04,control,between,0.7745950692447884,1.3439577624896226
2,3,1.4083592905049014,0,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,dining_00,repeated,between,0.7745950692447884,-0.633764221260113
3,4,0.8682781071983727,0,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,dining_05,repeated,between,0.7745950692447884,-0.09368303795358435
4,5,-0.9390417562159443,0,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,dining_03,repeated,between,0.7745950692447884,1.7136368254607328
5,6,-0.7979211458188319,0,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,waiting_01,control,between,0.7745950692447884,1.5725162150636203
6,7,-0.2712606545673603,0,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,waiting_06,control,between,-1.2909917820746473,-1.019731127507287
7,8,-0.816222089530273,0,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,waiting_02,control,between,-1.2909917820746473,-0.4747696925443743
8,33,0.6527336590413996,7,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,dining_07,repeated,between,-1.2909917820746473,-1.943725441116047
9,34,0.7458651281507332,7,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,dining_00,repeated,between,-1.2909917820746473,-2.0368569102253806
10,35,-1.1409621684988447,7,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,dining_05,repeated,between,0.7745950692447884,1.915557237743633
11,36,0.11183910045880689,7,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,waiting_02,control,between,0.7745950692447884,0.6627559687859815
12,37,-0.23221864131628592,7,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,waiting_06,control,between,0.7745950692447884,1.0068137105610744
13,38,1.3125843517483595,7,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,dining_03,repeated,between,-1.2909917820746473,-2.603576133823007
14,39,-1.2672386801077882,7,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,waiting_04,control,between,0.7745950692447884,2.0418337493525764
15,40,-1.0433571353711586,7,0050-769c4742-aefc-4bea-aeb2-7dc48b51fe82,waiting_01,control,between,0.7745950692447884,1.8179522046159469
16,1,2.2637055639254933,0,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,waiting_02,repeated,between,0.258197823084901,-2.005507740840592
17,2,1.3203421286278165,0,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,dining_06,control,between,0.258197823084901,-1.0621443055429154
18,3,-0.2681053413270622,0,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,dining_05,control,between,0.258197823084901,0.5263031644119632
19,4,0.16368698956333008,0,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,waiting_07,repeated,between,0.258197823084901,0.09451083352157094
20,5,1.2504328941027052,0,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,waiting_04,repeated,between,0.258197823084901,-0.9922350710178042
21,6,-0.5430816637924994,0,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,waiting_03,repeated,between,0.258197823084901,0.8012794868774005
22,7,1.2008110452829206,0,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,dining_00,control,between,0.258197823084901,-0.9426132221980196
23,8,0.3860257707392718,0,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,dining_01,control,between,0.258197823084901,-0.12782794765437078
24,33,-1.0390259981294645,7,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,dining_05,control,between,0.258197823084901,1.2972238212143656
25,34,-0.09401763966649132,7,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,dining_01,control,between,0.258197823084901,0.35221546275139237
26,35,-0.4981204306077219,7,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,dining_06,control,between,0.258197823084901,0.756318253692623
27,36,-0.18229518287074933,7,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,waiting_04,repeated,between,-3.8729673462735152,-3.6906721634027657
28,37,-1.089196154671015,7,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,waiting_03,repeated,between,0.258197823084901,1.347393977755916
29,38,-0.5274548937221804,7,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,dining_00,control,between,0.258197823084901,0.7856527168070814
30,39,-1.2128395459291526,7,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,waiting_02,repeated,between,0.258197823084901,1.4710373690140535
31,40,-1.1308675415251987,7,0051-e13f6f0c-ae9b-4976-8fcd-870cdb75f63f,waiting_07,repeated,between,0.258197823084901,1.3890653646100999
32,1,-1.5570887257427473,0,0232-52e2508f-1993-48fa-8bb3-3d1bb74dfc40,waiting_01,repeated,between,-1.4832364974260364,0.0738522283167109
33,2,0.27635565835668485,0,0232-52e2508f-1993-48fa-8bb3-3d1bb74dfc40,dining_06,control,between,0.6741984079209257,0.3978427495642408
34,3,1.2656939748442875,0,0232-52e2508f-1993-48fa-8bb3-3d1bb74dfc40,waiting_04,repeated,between,-1.4832364974260364,-2.748930472270324
35,4,-0.08514635243192392,0,0232-52e2508f-1993-48fa-8bb3-3d1bb74dfc40,dining_02,control,between,0.6741984079209257,0.7593447603528496
36,5,1.892628216885668,0,0232-52e2508f-1993-48fa-8bb3-3d1bb74dfc40,dining_07,control,between,-1.4832364974260364,-3.3758647143117044
37,6,1.844593327117749,0,0232-52e2508f-1993-48fa-8bb3-3d1bb74dfc40,dining_05,control,between,-1.4832364974260364,-3.3278298245437856
38,7,0.0373087890891081,0,0232-52e2508f-1993-48fa-8bb3-3d1bb74dfc40,waiting_00,repeated,between,-1.4832364974260364,-1.5205452865151445
39,8,-0.43492153567155734,0,0232-52e2508f-1993-48fa-8bb3-3d1bb74dfc40,waiting_03,repeated,between,0.6741984079209257,1.109119943592483
